Code PM,Libellé,PR début,PR fin,Sens,Axe,QT_MIN (6s),QT_MAX (6s),VT_MIN (6s),VT_MAX (6s),TT_MIN (6s),TT_MAX (6s),Lg Elec (m),Code Groupe Seuil,Envoi MI2,Code MISOL2,Envoi TIPI,Code TIPI
M5h,PME_A55_2_3+481_M5h,3+481,3+981,2,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.h,OUI,MM513.h2
M5j,PME_A55_2_4+305_M5j,4+305,4+805,2,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.j,OUI,MM513.j2
M5k,PME_A55_2_4+796_M5k,4+796,5+296,2,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.k,OUI,MM513.k2
M5l,PME_A55_2_5+248_M5l,5+248,5+748,2,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.l,OUI,MM513.l2
M5m,PME_A55_2_5+676_M5m,5+676,6+176,2,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.m,OUI,MM513.m2
M5n,PME_A55_2_6+393_M5n,6+393,6+893,2,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.n,OUI,MM513.n2
M5o,PME_A55_2_7+279_M5o,7+279,7+779,2,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.o,OUI,MM513.o2
M5r,PME_A55_2_8+650_M5r,8+650,9+150,2,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.r,OUI,MM513.r2
M5s,PME_A55_2_9+400_M5s,9+400,9+900,2,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.s,OUI,MM513.s2
M5t,PME_A55_2_9+745_M5t,9+745,10+210,2,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.t,OUI,MM513.t2
M5u,PME_A55_2_10+310_M5u,10+310,10+722,2,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.u,OUI,MM513.u2
M5v,PME_A55_2_10+822_M5v,10+822,11+322,2,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.v,OUI,MM513.v2
M5x,PME_A55_2_12+666_M5x,12+666,13+166,2,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.x,OUI,MM513.x2
M5y,PME_A55_2_13+406_M5y,13+406,13+906,2,A55,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM513.y,OUI,MM513.y2
m5y,PME_A55_2_13+416_m5y,0+000,0+500,2,A551,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,Mm513.y,OUI,Mm513.y2
M7I,PME_A7_1_264+687_M7I,264+687,265+187,1,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM713.I,OUI,MM713.I1
M7J,PME_A7_1_265+320_M7J,265+320,265+820,1,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM713.J,OUI,MM713.J1
M7i,PME_A7_2_264+687_M7i,264+687,265+187,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM713.i,OUI,MM713.i2
M7j,PME_A7_2_265+320_M7j,265+320,265+820,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM713.j,OUI,MM713.j2
M7N,PME_A7_1_267+230_M7N,267+230,267+730,1,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM713.N,OUI,MM713.N1
M7O,PME_A7_1_267+861_M7O,267+861,268+361,1,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM713.O,OUI,MM713.O1
M7P,PME_A7_1_268+288_M7P,268+288,268+788,1,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM713.P,OUI,MM713.P1
